Arrest date,Victim of police death (with video),Number of protests (BLM),Notable attempts at reform and/or justice,Source,
1/1/2009,Oscar Grant,~20,"Officer charged with involuntary manslaughter, civilian oversight body, mandatory body cameras, crisis intervention training",https://www.mercurynews.com/2018/12/31/10-years-after-oscar-grant-reforms-a-movement-a-family-still-grieves/,https://sanfrancisco.cbslocal.com/2018/12/31/bart-police-institute-reforms-in-decade-since-oscar-grants-death/
2/26/2012,Trayvon Martin,~150,"DOJ civil rights case filed against George Zimmerman (ending in an acquital), beginning of the #BlackLivesMatter movement, NAACP proposes principles called ""Trayvon's Law""",https://www.theguardian.com/world/2013/jul/20/trayvon-martin-protests-us-cities,
7/17/2014,Eric Garner,63,"Required 3-day training on deescalation, implemented bias training, body cameras, new process of force documentation, reduced stop and frisk , Eric Garner Chokehold Act passed on June 8, 2020 in NYS",https://www.pbs.org/newshour/nation/where-eric-garner-died-changes-in-nypd-policing-win-little-applause,
8/9/2014,Michael Brown,141,"DOJ consent decree of Ferguson PD required hundreds of changes, 6 officials resigned or were fired, creation of President's Task force on 21st Century Policing",https://news.stlpublicradio.org/post/what-s-changed-and-what-hasn-t-three-years-after-michael-brown-s-death#stream/0,https://www.justice.gov/opa/file/833431/download
11/22/2014,Tamir Rice,23,"Use of force training, crisis intervention training, new dispatch system, DOJ consent decree",https://www.cleveland.com/metro/2019/11/heres-how-cleveland-police-have-changed-since-tamir-rices-death.html,https://www.justice.gov/sites/default/files/crt/legacy/2015/05/27/cleveland_agreement_5-26-15.pdf
4/4/2015,Walter Scott,7,"Officer sentenced to 20 years in prison by fed government, ""Walter Scott Notification Act"" was proposed and yet to be passed",https://www.charlestonchronicle.net/2020/05/02/has-north-charleston-police-department-changed-since-walter-scotts-death/,
4/12/2015,Freddie Gray,29,"DOJ consent decree of Baltimore PD, revision of use of force policies, body cameras and officer misconduct",https://www.baltimoresun.com/news/crime/bs-md-ci-consent-decree-explainer-20180403-story.html,
7/13/2015,Sandra Bland,18,"Sandra Bland Act - changes to bail reform, jail diversion, jail safety, officer training, racial profiling, data collection, officer discipline and behavioral health",https://www.texastribune.org/2017/06/15/texas-gov-greg-abbott-signs-sandra-bland-act-law/,
10/20/2014,Laquan McDonald,34,"Conviction of officer, firing of Superintendent and Head of IPRA, formation of Civilian Office of Police Accountability, eventual consent decree of Chicago PD",https://www.citybureau.org/black-caucus-timeline,https://www.npr.org/2019/03/01/699439896/the-consent-decree-will-make-us-better-federal-oversight-of-chicago-police-begin
11/15/2015,Jamar Clark,33,Ceasing of the use of grand juries in police shootings,https://www.startribune.com/hennepin-county-attorney-to-provide-update-into-jamar-clark-inquiry/372229891/,
7/5/2016,Alton Sterling,114,"Required training, decertification of 26 police officers",https://www.usatoday.com/story/news/investigations/2019/11/20/police-shooting-alton-sterling-new-louisiana-law-hasnt-helped/4254271002/,https://www.nytimes.com/2016/07/06/us/alton-sterling-baton-rouge-shooting.html
7/6/2016,Philando Castile,116,"DOJ investigation, rewrote use of force policies",https://www.themarshallproject.org/2020/05/28/before-george-floyd-s-death-minneapolis-police-failed-to-adopt-reforms-remove-bad-officers,
3/12/2018,Decynthia Clements,10,,,
6/19/2018,Antwon Rose,9,,https://www.mcall.com/news/pennsylvania/mc-nws-pa-police-reforms-languish-leglislature-20200605-ubdp3m7qiva53es3t6wukff4su-story.html,
8/3/2019,De'Von Bailey,9,,,
6/2/2020,George Floyd,680,"Ban of chokeholds, required intervention during unauthorized use of force, loss of community contracts, vote to disband the police",https://www.nbcnews.com/nightly-news/video/minneapolis-city-council-votes-for-police-reforms-including-chokehold-ban-after-george-floyd-death-84505669572,